Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Lag-6 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
0.155,20.592804500643126,21.325526914210442,-0.7327224135673163,1.0400200122290475,1.0816416258369081,0.5032629302135181,-0.4772068103345381,-0.981201749093866,0.9873517870719718,0.04876876816514804,0.006469373101752009,-1.4503858826104197,7.468383659356528e-44,1.0,8.082854137809746e-44,0.75766269098827,"{'sigma': 1.329247560697086, 'lam': -2.030040194683418}","{'sigma': 0.1699813752284458, 'mu': -2.78073389559097e-06, 'w0': 1.0264144913324562, 'delta': 1.0264062756315888, 'psi': 0.2}",{'sigma': 0.49913027646498503},0.4329501091361543
0.16,20.866965083260848,21.57766558337924,-0.7107005001183921,1.5676556437397375,2.4575442173490507,0.5247919302383357,-0.4285801127850201,-0.9705986688341319,0.9651089776518753,0.07265184301412939,0.01053935873499415,-1.4732106392691884,2.3062219751743343e-43,1.0,2.3115812404897315e-43,2.9171406527455357,"{'sigma': 1.95820055387183, 'lam': -1.95905861453475}","{'sigma': 0.2566820396802483, 'mu': -6.505443143733913e-06, 'w0': 1.0162065873265973, 'delta': 1.0161873669420207, 'psi': 0.2}",{'sigma': 0.7524193637380989},0.9723802175818459
0.165,21.51471476618351,21.792355269679533,-0.2776405034960234,2.0731443770098466,4.297927607927544,0.5494579528757791,-0.3717002309293794,-0.9498160644959203,0.898224912418536,0.09513168310201124,0.02070914691946838,-1.4761773714155841,2.8522427784762413e-43,1.0,2.747115448977472e-43,6.012028030729224,"{'sigma': 2.52271861823121, 'lam': -1.881186241167683}","{'sigma': 0.3148142937879046, 'mu': -5.140681814452819e-05, 'w0': 1.0052249296010587, 'delta': 1.0050730477395522, 'psi': 0.2}",{'sigma': 0.9947026762091381},2.0040093435764095
0.17,22.930401349554877,21.947324261028577,0.9830770885263007,2.680063504194603,7.182740386515856,0.5814680030162944,-0.2970155987375597,-0.9123696578137294,0.7591213878124117,0.12211327173213946,0.030605611672934352,-1.4699726560450888,3.7705909134743255e-38,1.0,3.2939588581243365e-38,10.495594299078423,"{'sigma': 3.1490892198197846, 'lam': -1.7824683368548695}","{'sigma': 0.5266452936776982, 'mu': -0.07476202080364014, 'w0': 0.9157125917461743, 'delta': 0.6948275943958164, 'psi': 0.2}",{'sigma': 1.2842050649124275},3.4985314330261432
0.17500000000000002,18.2058921076752,21.969900486501697,-3.764008378826496,3.5672253764486723,12.72509688637937,0.6265874786704616,-0.1873384582676319,-0.8369148994070258,0.47549432477790704,0.1623689693136203,0.07043766617745519,-1.4549899722258468,2.2364159242248233e-42,1.0,1.3650237912197648e-42,7.1719983221322385,"{'sigma': 3.9874368373110136, 'lam': -1.6368825487083123}","{'sigma': 0.5842168360817663, 'mu': -6.919652965953205e-06, 'w0': 0.8667327648652414, 'delta': 0.8667123206943828, 'psi': 0.2}",{'sigma': 1.7131147022576148},4.781332214754827
0.18000000000000002,37.09851308488255,20.17937205475406,16.919141030128486,10.043132013012118,100.86450063078883,0.7955624659484387,0.332912686105337,-0.15098867598815915,-0.7791708605582838,0.4976832826605763,0.5485828027161559,-1.0385779221985918,4.5163789165637114e-35,1.0,1.4117263045696096e-36,49.39711994559689,"{'sigma': 8.497082584174255, 'lam': -1.0140517946349914}","{'sigma': 1.5549305976942644, 'mu': -1.036810497478946e-05, 'w0': 0.5481515369029628, 'delta': 0.5481209042526509, 'psi': 0.2}",{'sigma': 4.8294629314323405},32.9314132970646
0.185,7.612051235661492,19.733895247429686,-12.121844011768193,11.846175871485462,140.33188277816436,0.8130516153091855,0.4004608659222605,-0.02790343390375353,-0.705878529300362,0.6002716286212125,0.6822254222725277,-0.8046130904740044,1.223008100934256e-32,1.0,1.300796435939482e-34,82.646969115033,"{'sigma': 9.455172611780084, 'lam': -0.9204193372861154}","{'sigma': 2.315835942821657, 'mu': -0.08126141734882708, 'w0': 0.5058128862065512, 'delta': 0.26572536900412635, 'psi': 0.2}",{'sigma': 5.686858748224076},55.09797941002201
0.19,10.935195176767971,19.53241214362406,-8.59721696685609,12.676406140973304,160.69127265090572,0.8184880070730378,0.42214365868864767,0.013314485403925366,-0.6653642899710175,0.6489990235723598,0.7421990500334843,-0.702288203941267,1.0537531031031195e-30,1.0,6.312295716421576e-33,93.21023498814077,"{'sigma': 9.908036521554184, 'lam': -0.8877959112573004}","{'sigma': 2.631662695219795, 'mu': -0.09449297308211557, 'w0': 0.46825031192289873, 'delta': 0.18907005589838155, 'psi': 0.2}",{'sigma': 6.087004155369815},62.14015665876053
0.195,15.204822490389187,19.65935123558142,-4.454528745192231,12.901265090620619,166.44264093846627,0.8155629375616946,0.4153191944930156,0.004640728703068397,-0.6701246497801351,0.6562445194642126,0.7480455379576079,-0.7021614586774251,8.903899137897353e-31,1.0,6.472870698414245e-33,97.61479953378155,"{'sigma': 10.109369977126535, 'lam': -0.8937541294189728}","{'sigma': 2.633784860016601, 'mu': -0.09244543340561417, 'w0': 0.4726976121289834, 'delta': 0.19956682869973807, 'psi': 0.2}",{'sigma': 6.188840752621099},65.07653302252105
0.2,14.883528114451373,19.533091894980263,-4.64956378052889,13.434430859112158,180.48393250826504,0.8175284902744406,0.42487592347800096,0.02407420072249046,-0.6471542348172256,0.6877996701516316,0.7864672586740186,-0.6354360667221729,1.1914307253948369e-29,1.0,5.914137156828982e-32,103.48209469187715,"{'sigma': 10.428644310206552, 'lam': -0.8781710306322528}","{'sigma': 2.7257428562276957, 'mu': -0.09090482195033411, 'w0': 0.45198709522967595, 'delta': 0.1834080608510782, 'psi': 0.2}",{'sigma': 6.452677933589581},68.98806312791812
