Delta,Frequency,Empirical
0.69,0.7853981633974483,0.003283471810487737
0.69,0.942477796076938,0.006768655173300227
0.69,1.0995574287564276,0.004896999331686355
0.69,1.2566370614359172,0.0035521820966412745
0.69,1.413716694115407,0.0004911929067091617
0.69,1.5707963267948966,0.0013208184231199242
0.69,1.7278759594743864,0.00019515690020859854
0.69,1.884955592153876,3.90311184248562e-05
0.69,2.0420352248333655,6.861811825206871e-05
0.69,2.199114857512855,1.88657095949032e-06
0.69,2.356194490192345,0.00015023954992873724
0.69,2.5132741228718345,9.585280139574165e-06
0.95,-2.5132741228718345,0.00013804639112960365
0.95,-2.356194490192345,0.0001991721197258348
0.95,-2.199114857512855,0.0018301015392655484
0.95,-2.0420352248333655,0.003694623656679585
0.95,-1.884955592153876,0.0024826627207720194
0.95,-1.7278759594743864,0.00045524273204526475
0.95,-1.5707963267948966,0.0005255790909659057
0.95,-1.413716694115407,0.0038061467907648918
0.95,-1.2566370614359172,0.010597127927475422
0.95,-1.0995574287564276,0.024068874310297
0.95,-0.942477796076938,0.017355175449247723
0.95,-0.7853981633974483,0.020819450180727454
0.95,-0.6283185307179586,0.006824436809790927
0.95,-0.471238898038469,0.011528903578532985
0.95,-0.3141592653589793,0.07807486074216533
0.95,-0.15707963267948966,0.041330035493032206
0.95,0.0,0.0007936953479326552
0.95,0.15707963267948966,0.041330035493032206
0.95,0.3141592653589793,0.07807486074216533
0.95,0.471238898038469,0.011528903578532985
0.95,0.6283185307179586,0.006824436809790927
0.95,0.7853981633974483,0.020819450180727454
0.95,0.942477796076938,0.017355175449247723
0.95,1.0995574287564276,0.024068874310297
0.95,1.2566370614359172,0.010597127927475422
0.95,1.413716694115407,0.0038061467907648918
0.95,1.5707963267948966,0.0005255790909659057
0.95,1.7278759594743864,0.00045524273204526475
0.95,1.884955592153876,0.0024826627207720194
0.95,2.0420352248333655,0.003694623656679585
0.95,2.199114857512855,0.0018301015392655484
0.95,2.356194490192345,0.0001991721197258348
0.95,2.5132741228718345,0.00013804639112960365
1.17,-2.5132741228718345,0.015003924831881723
1.17,-2.356194490192345,0.005038941399595957
1.17,-2.199114857512855,0.012722735448012407
1.17,-2.0420352248333655,0.017456642039808616
1.17,-1.884955592153876,0.014956722913759348
1.17,-1.7278759594743864,0.0035324764368933432
1.17,-1.5707963267948966,0.006529512370834441
1.17,-1.413716694115407,0.011557711058408604
1.17,-1.2566370614359172,0.003084554310344585
1.17,-1.0995574287564276,0.011122745445736312
1.17,-0.942477796076938,0.00757234739162996
1.17,-0.7853981633974483,0.010533322446898655
1.17,-0.6283185307179586,0.016467899589522085
1.17,-0.471238898038469,0.010070540336456447
1.17,-0.3141592653589793,0.02355768167429092
1.17,-0.15707963267948966,0.012692041747983754
1.17,0.0,0.0006319500134517901
1.17,0.15707963267948966,0.012692041747983754
1.17,0.3141592653589793,0.02355768167429092
1.17,0.471238898038469,0.010070540336456447
1.17,0.6283185307179586,0.016467899589522085
1.17,0.7853981633974483,0.010533322446898655
1.17,0.942477796076938,0.00757234739162996
1.17,1.0995574287564276,0.011122745445736312
1.17,1.2566370614359172,0.003084554310344585
1.17,1.413716694115407,0.011557711058408604
1.17,1.5707963267948966,0.006529512370834441
1.17,1.7278759594743864,0.0035324764368933432
1.17,1.884955592153876,0.014956722913759348
1.17,2.0420352248333655,0.017456642039808616
1.17,2.199114857512855,0.012722735448012407
1.17,2.356194490192345,0.005038941399595957
1.17,2.5132741228718345,0.015003924831881723
1.24,-2.5132741228718345,0.002423133423012619
1.24,-2.356194490192345,0.003671093597895997
1.24,-2.199114857512855,0.002213294978161376
1.24,-2.0420352248333655,0.0007627537828714896
1.24,-1.884955592153876,0.004816608809679832
1.24,-1.7278759594743864,0.005787770709521977
1.24,-1.5707963267948966,0.0018910982771167407
1.24,-1.413716694115407,0.002789406007555832
1.24,-1.2566370614359172,0.0021802568871163723
1.24,-1.0995574287564276,0.0026745352748065343
1.24,-0.942477796076938,0.0076330891651603255
1.24,-0.7853981633974483,0.005027767453422382
1.24,-0.6283185307179586,0.0056401658198842975
1.24,-0.471238898038469,0.01121128554465053
1.24,-0.3141592653589793,0.02515928377523495
1.24,-0.15707963267948966,0.022299847520058536
1.24,0.0,0.009721939000599207
1.24,0.15707963267948966,0.022299847520058536
1.24,0.3141592653589793,0.02515928377523495
1.24,0.471238898038469,0.01121128554465053
1.24,0.6283185307179586,0.0056401658198842975
1.24,0.7853981633974483,0.005027767453422382
1.24,0.942477796076938,0.0076330891651603255
1.24,1.0995574287564276,0.0026745352748065343
1.24,1.2566370614359172,0.0021802568871163723
1.24,1.413716694115407,0.002789406007555832
1.24,1.5707963267948966,0.0018910982771167407
1.24,1.7278759594743864,0.005787770709521977
1.24,1.884955592153876,0.004816608809679832
1.24,2.0420352248333655,0.0007627537828714896
1.24,2.199114857512855,0.002213294978161376
1.24,2.356194490192345,0.003671093597895997
1.24,2.5132741228718345,0.002423133423012619
1.37,-2.5132741228718345,0.0015050798758405167
1.37,-2.356194490192345,0.001991333510397871
1.37,-2.199114857512855,0.0050318841923987145
1.37,-2.0420352248333655,0.003838331710338224
1.37,-1.884955592153876,0.00425014052339584
1.37,-1.7278759594743864,0.003719145310173162
1.37,-1.5707963267948966,0.0012190920474100025
1.37,-1.413716694115407,0.0008720141310421123
1.37,-1.2566370614359172,0.0010403015226262819
1.37,-1.0995574287564276,0.001799873950666288
1.37,-0.942477796076938,0.0035529443558211284
1.37,-0.7853981633974483,0.002336303153814659
1.37,-0.6283185307179586,0.0032379301617174883
1.37,-0.471238898038469,0.010026336121142372
1.37,-0.3141592653589793,0.012397491304335302
1.37,-0.15707963267948966,0.002518185878375373
1.37,0.0,0.00015006383763718504
1.37,0.15707963267948966,0.002518185878375373
1.37,0.3141592653589793,0.012397491304335302
1.37,0.471238898038469,0.010026336121142372
1.37,0.6283185307179586,0.0032379301617174883
1.37,0.7853981633974483,0.002336303153814659
1.37,0.942477796076938,0.0035529443558211284
1.37,1.0995574287564276,0.001799873950666288
1.37,1.2566370614359172,0.0010403015226262819
1.37,1.413716694115407,0.0008720141310421123
1.37,1.5707963267948966,0.0012190920474100025
1.37,1.7278759594743864,0.003719145310173162
1.37,1.884955592153876,0.00425014052339584
1.37,2.0420352248333655,0.003838331710338224
1.37,2.199114857512855,0.0050318841923987145
1.37,2.356194490192345,0.001991333510397871
1.37,2.5132741228718345,0.0015050798758405167
