Realisation number,Variable,index,Lag-2 AC,Smax,Lag-10 AC,Lag-1 AC,Standard deviation,Coefficient of variation,Variance,Skewness,Kurtosis
21,Brachionus,0,-0.854416291735733,-0.6666666666666667,0.4924934880416766,-0.7423632488752072,-0.6418659720577788,-0.7930381245560029,-0.6418659720577788,0.5253611176888467,-0.5269713473833767
22,Chlorella,0,-0.9111532086194649,0.8190476190476191,-0.848070092351409,-0.9085957849869762,0.6932986028889415,0.5770779067013971,0.6932986028889415,0.8622780014207909,0.08235851290551742
22,Brachionus,0,-0.7460573052332465,-0.4476190476190477,-0.31982003315178786,-0.835567132370353,-0.4234430499644803,-0.6429078853895336,-0.4234430499644803,-0.3824295524508643,0.4581103480937722
23,Chlorella,0,-0.8722235377693583,0.6285714285714286,0.800047359696898,-0.8543215723419371,0.5931802036466968,0.40118399242244857,0.5931802036466968,0.3710632251953587,0.3667061330807483
23,Brachionus,0,-0.6524745441629174,-0.40952380952380957,0.7415107743310443,-0.5832346672981293,-0.31688373194411557,-0.5372957613071278,-0.31688373194411557,0.5511247928013261,-0.42751598389770307
24,Chlorella,0,-0.8625621596021786,0.7523809523809525,-0.700023679848449,-0.8517641487094483,0.817381008761544,0.7672744494435236,0.817381008761544,-0.01955955481884916,0.21051385271134265
24,Brachionus,0,-0.8099928960454653,-0.5619047619047619,0.3139474307364433,-0.8267582287473361,0.21468150603836136,-0.4223064172389297,0.21468150603836136,-0.6210277054226854,0.3938905991001658
25,Chlorella,0,-0.9078380298366091,0.580952380952381,0.44143973478569737,-0.893819559554819,0.49078853895335073,0.24896992659246983,0.49078853895335073,0.29055174046886106,0.141747572815534
25,Brachionus,0,-0.8790433341226617,-0.9047619047619049,0.031304759649538244,-0.9010182334833058,-0.8895571868340042,-0.9242244849632963,-0.8895571868340042,-0.43859815297182103,0.18787591759412742
26,Chlorella,0,-0.8040255742363249,0.8190476190476191,-0.4754439971584182,-0.7854605730523325,0.9051858868103244,0.890693819559555,0.9051858868103244,0.5714894624674403,0.2543689320388349
