Variable,Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
Brachionus,0.19,4.939429664293455,3.957315988407552,0.9821136758859033,2.4598553692822724,6.050888437786825,0.8128893042541371,0.4025014076409878,-0.3602894788719592,0.6215750086300182,0.7026062235557379,-0.7892765765401113,6.670294496144911e-32,1.0,7.337120493337528e-34,3.596030095466366,"{'sigma': 1.9519646250578608, 'lam': -0.9153529438600758}","{'sigma': 0.48433443910165064, 'mu': -0.0849371724771637, 'w0': 0.49629596461159237, 'delta': 0.24534839904429417, 'psi': 0.2}",{'sigma': 1.1780548536621818},2.397353396977578
Chlorella,0.2,52.01316090331264,16.223404591672413,35.789756311640225,22.166607292311383,491.35847885155226,0.7696115817649161,0.3749747300701097,-0.3508345938275381,1.3663599771938426,0.9456885486117187,-0.8341745755993413,1.5577713000095482e-22,1.0,6.108866133974515e-25,257.3587769532732,"{'sigma': 17.55947048640991, 'lam': -0.926149640894852}","{'sigma': 4.4931752187702125, 'mu': -0.09630644659403198, 'w0': 0.45774676719886775, 'delta': 0.17320858896239377, 'psi': 0.2}",{'sigma': 10.650602138309335},171.57251796884887
Brachionus,0.2,1.4722995699986277,3.9058172870571353,-2.433517717058508,2.6777865148654083,7.17054061919503,0.8173473507012833,0.42378830677700846,-0.3021812739479953,0.6855827325772786,0.7857409866969919,-0.6418228620132694,1.0418000396795277e-29,1.0,5.565133428377259e-32,4.135921755833701,"{'sigma': 2.083737368506595, 'lam': -0.8808288095548367}","{'sigma': 0.5443089326249382, 'mu': -0.09123598303373726, 'w0': 0.45418356462357845, 'delta': 0.18462611213584257, 'psi': 0.2}",{'sigma': 1.2869425064621056},2.757281170555802
Chlorella,0.21000000000000002,7.287838727094847,17.071837032393926,-9.783998305299079,23.318565093380723,543.755478014234,0.7761430438667579,0.39381063313544984,-0.32960952365866825,1.365879711400685,0.9329943135136277,-0.8664770783232593,1.3275912431222247e-22,1.0,4.1318492233827997e-25,282.930729889264,"{'sigma': 18.21464745182821, 'lam': -0.9047866871294543}","{'sigma': 4.610328992589984, 'mu': -0.09104244971617081, 'w0': 0.4436719285285605, 'delta': 0.17468627179859508, 'psi': 0.2}",{'sigma': 11.187578826118255},188.62048659284272
Brachionus,0.21000000000000002,1.3491824658911893,3.894201217401543,-2.5450187515103533,2.819242791355952,7.9481299166125,0.8167679793915228,0.42707173326913805,-0.28285934013522984,0.7239508612462588,0.8275892382776727,-0.5535818084654894,4.9410170916597023e-29,1.0,1.9175931169396885e-31,4.4943215749279,"{'sigma': 2.1794680027663653, 'lam': -0.8698367478096403}","{'sigma': 0.5612972218291934, 'mu': -0.0871554611191343, 'w0': 0.4423711223070479, 'delta': 0.18486960493993232, 'psi': 0.2}",{'sigma': 1.357035467848191},2.9962143832852677
Chlorella,0.22,48.8730205833891,17.522536668489266,31.350483914899833,23.579422464730612,555.9891637702426,0.7784454567809242,0.3875628120877335,-0.3491780255191012,1.345635241749731,0.8987208972036748,-0.9339668244340495,3.905233987050015e-23,1.0,1.7033911350752142e-25,294.9850489813937,"{'sigma': 18.52401398579615, 'lam': -0.9171562828023729}","{'sigma': 4.694489061667566, 'mu': -0.09346280677180396, 'w0': 0.45491381578992357, 'delta': 0.17877719449167007, 'psi': 0.2}",{'sigma': 11.278516254411604},196.65669932092916
Brachionus,0.22,2.6310475369255077,3.9119217589422335,-1.2808742220167257,2.8606006041775807,8.183035816621139,0.8133707712451604,0.41591860474400794,-0.3029151803884529,0.7312403085890057,0.8322981486108718,-0.5691450945956665,2.0058126341426665e-29,1.0,1.091496021058741e-31,4.668616946084791,"{'sigma': 2.216875229576154, 'lam': -0.8834202490474881}","{'sigma': 0.5713858353125127, 'mu': -0.08990873304395053, 'w0': 0.45313561876550035, 'delta': 0.18749953714663525, 'psi': 0.2}",{'sigma': 1.368211672993071},3.1124112973898614
Chlorella,0.23,0.0037676400129678005,18.100147806271664,-18.096380166258697,24.22284949442364,586.7464376294996,0.7776816693804894,0.38967809809650145,-0.34794030656700503,1.3382824923469663,0.8838470606506099,-0.9655133838162107,7.074637137637294e-24,1.0,3.1180679198939784e-26,314.7021695236001,"{'sigma': 19.052720846956028, 'lam': -0.9140707763379776}","{'sigma': 4.876016067796758, 'mu': -0.09445586547703044, 'w0': 0.45778075896731074, 'delta': 0.17871013766324118, 'psi': 0.2}",{'sigma': 11.622962026221211},209.8014463490668
Brachionus,0.23,4.757520196920989,3.9148011887931604,0.8427190081278289,2.9341491295112196,8.609231114211447,0.8109235052989191,0.4107949372713817,-0.3052779037166624,0.749506489729402,0.8457294964394844,-0.549944763992647,2.9215396435434904e-29,1.0,1.5636020568573038e-31,4.896952446051135,"{'sigma': 2.278545996809142, 'lam': -0.886705731184914}","{'sigma': 0.5892346158307136, 'mu': -0.09115959570557552, 'w0': 0.45640299424775627, 'delta': 0.18707122874115378, 'psi': 0.2}",{'sigma': 1.4039416282017996},3.2646349640340913
Chlorella,0.24000000000000002,5.605242161300831,18.63316729426014,-13.027925132959309,24.791980818257777,614.6423128928615,0.7826507700770138,0.3962227520098218,-0.3445643772378827,1.3304413916540985,0.8636774046980703,-1.007045206979269,2.588569273475602e-24,1.0,1.2511009392143916e-26,335.5329917723664,"{'sigma': 19.489354953395974, 'lam': -0.9089729951038166}","{'sigma': 4.9711456260092985, 'mu': -0.09305752233292997, 'w0': 0.45670154049076206, 'delta': 0.18176233535708697, 'psi': 0.2}",{'sigma': 11.91403022257869},223.68866118157766
Brachionus,0.24000000000000002,1.0779122231296268,3.8924974097702,-2.8145851866405733,3.005320053912274,9.031948626447273,0.809240151749581,0.408363900269479,-0.30427385662754153,0.7721021974691801,0.8799367320770843,-0.47815646205114565,1.44158402522552e-28,1.0,8.370276232201666e-31,5.182583962630313,"{'sigma': 2.356778361693968, 'lam': -0.894132650958777}","{'sigma': 0.6095025262574338, 'mu': -0.09205827366126429, 'w0': 0.45903470631398363, 'delta': 0.18704778949221668, 'psi': 0.2}",{'sigma': 1.446073267174448},3.4550559750868763
